emotion,phrase,language
happy,malipayon ko,hil
happy,okay lang ko,hil
relieved,okay lang,hil
tired,kapoy ko,hil
tired,ginakapoy ko,hil
sad,nasubo ko,hil
afraid,nahadlok ko,hil
anxious,kulbaan ko,hil
frustrated,nabudlayan ko,hil
stressed,na-stress ko,hil
stressed,na stress ko,hil
angry,akig ko,hil
irritated,lain gid ya,hil
irritated,lain gid,hil
uncertain,indi ko kabalo,hil
uncertain,wala ko kasabot,hil
confused,ano ni,hil
confused,ano ini,hil
thankful,salamat gid,hil
mixed,pero nahadlok ko,hil
mixed,pero kapoy ko,hil
uncertain,indi ko gusto,hil
thankful,amo gid,hil
thankful,oo gid,hil
surprised,grabe,hil
sad,hay,hil
happy,hahaha,hil
