local_term,english_translation,category,medical_keyword,severity,body_system
basin grabe sakit sang ulo ko gid ko,headache,symptom,headache,moderate,neurological
may ara ko nga pirme sakit ulo ko nga po gid ko,headache,symptom,headache,moderate,neurological
"doc, grabe sakit sang ulo ko bah",headache,symptom,headache,moderate,neurological
ginsakit sa ulo,headache,symptom,headache,moderate,neurological
hapdi ulo bah,headache,symptom,headache,moderate,neurological
nagmasakit ulo,headache,symptom,headache,moderate,neurological
masakit ulo gid,headache,symptom,headache,moderate,neurological
sakit ulo gid ko,headache,symptom,headache,moderate,neurological
may ara ko nga pirme sakit ulo ko talaga man,headache,symptom,headache,moderate,neurological
complain ko kay masakit akon ulo sobra ko,headache,symptom,headache,moderate,neurological
sakit sang ulo malala gid man,headache,symptom,headache,moderate,neurological
masakit ulo man,headache,symptom,headache,moderate,neurological
basin sakit ulo malala gid ako,headache,symptom,headache,moderate,neurological
feel ko nga ga sakit ulo ko halin sang gabii na gid,headache,symptom,headache,moderate,neurological
daw ga sakit ulo ko pirmi na gid,headache,symptom,headache,moderate,neurological
sakit ulo na gid,headache,symptom,headache,moderate,neurological
Pirme skit ulo ko,headache,symptom,headache,moderate,neurological
"doktor, ga sakit ulo ko halin sang aga gid ako",headache,symptom,headache,moderate,neurological
sakit sang ulo gid,headache,symptom,headache,moderate,neurological
basin sakit sang ulo ko subong gid ko,headache,symptom,headache,moderate,neurological
amuni sakit sang ulo ko halin sang gabii,headache,symptom,headache,moderate,neurological
may masakit ulo,headache,symptom,headache,moderate,neurological
nagmasakit akon ulo,headache,symptom,headache,moderate,neurological
nagasakit ulo man,headache,symptom,headache,moderate,neurological
Grabe sakit sang ulo ko,headache,symptom,headache,moderate,neurological
"dok, masakit daw malala akon ulo kagapon gid ako",headache,symptom,headache,moderate,neurological
basin masakit ulo dako gid gid ako,headache,symptom,headache,moderate,neurological
kirot ulo gid ko,headache,symptom,headache,moderate,neurological
daw masakit dako gid akon ulo sige subong,headache,symptom,headache,moderate,neurological
Pirme saket ulo ko,headache,symptom,headache,moderate,neurological
sakit sang ulo dako gid bah,headache,symptom,headache,moderate,neurological
"doc, ga sakit ulo ko pirmi man",headache,symptom,headache,moderate,neurological
basin masakit malala gid akon ulo subong ako,headache,symptom,headache,moderate,neurological
sige ko grabe sakit sang ulo ko,headache,symptom,headache,moderate,neurological
"dok, sakit sang ulo ko karon gid ako",headache,symptom,headache,moderate,neurological
masakti ulo,headache,symptom,headache,moderate,neurological
"doktor, pirme sakit ulo ko po subong",headache,symptom,headache,moderate,neurological
"doktor, sakit sang ulo ko kagapon ako",headache,symptom,headache,moderate,neurological
pareho ga sakit ulo ko since kagapon bah,headache,symptom,headache,moderate,neurological
"dok, grabe sakit sang ulo ko ako",headache,symptom,headache,moderate,neurological
complain ko kay masakit gid akon ulo halin sang gabii na gid,headache,symptom,headache,moderate,neurological
complain ko kay grabe sakit sang ulo ko subong,headache,symptom,headache,moderate,neurological
may ara ko nga pirme sakit ulo ko din gid,headache,symptom,headache,moderate,neurological
nagHeadache gid ko,headache,symptom,headache,moderate,neurological
daw ga sakit ulo ko karon bah,headache,symptom,headache,moderate,neurological
basin grabe sakit sang ulo ko,headache,symptom,headache,moderate,neurological
ginmasakit ulo,headache,symptom,headache,moderate,neurological
ga sakit ulo ko talaga,headache,symptom,headache,moderate,neurological
nagasakit ulo gid,headache,symptom,headache,moderate,neurological
sakit sang ulo bah,headache,symptom,headache,moderate,neurological
skit sa ulo,headache,symptom,headache,moderate,neurological
may ulo masakit,headache,symptom,headache,moderate,neurological
may ara ko nga sakit sang ulo ko halin sang aga ko,headache,symptom,headache,moderate,neurological
nagsakit ulo,headache,symptom,headache,moderate,neurological
pareho masakit grabe akon ulo karon gid ko,headache,symptom,headache,moderate,neurological
daw sakit sang ulo ko halin sang aga man,headache,symptom,headache,moderate,neurological
kirot ulo talaga,headache,symptom,headache,moderate,neurological
pirme sakit ulo ko po,headache,symptom,headache,moderate,neurological
amuni daw ga linog akon ulo ko,headache,symptom,headache,moderate,neurological
daw ga sakit ulo ko since kagapon na gid,headache,symptom,headache,moderate,neurological
daw ga linog akon ulo na gid,headache,symptom,headache,moderate,neurological
daw grabe sakit sang ulo ko ako,headache,symptom,headache,moderate,neurological
amuni daw ga linog akon ulo man,headache,symptom,headache,moderate,neurological
pareho sakit sang ulo ko subong na gid,headache,symptom,headache,moderate,neurological
may ara ko nga ga sakit ulo ko halin sang gabii subong,headache,symptom,headache,moderate,neurological
pareho sakit sang ulo ko sige,headache,symptom,headache,moderate,neurological
complain ko kay pirme sakit ulo ko nga po na gid,headache,symptom,headache,moderate,neurological
feel ko nga ga sakit ulo ko halin sang gabii,headache,symptom,headache,moderate,neurological
daw ga sakit ulo ko halin sang aga gid ko,headache,symptom,headache,moderate,neurological
panakit ulo talaga,headache,symptom,headache,moderate,neurological
amuni sakit sang ulo ko karon subong,headache,symptom,headache,moderate,neurological
basin sakit sang ulo ko halin sang aga subong,headache,symptom,headache,moderate,neurological
nagasakit ulo ko,headache,symptom,headache,moderate,neurological
feel ko nga grabe sakit sang ulo ko man,headache,symptom,headache,moderate,neurological
may ara ko nga masakit gid akon ulo sige gid ko,headache,symptom,headache,moderate,neurological
nagasakit ulo dako gid ko,headache,symptom,headache,moderate,neurological
daw sakit sang ulo grabeh ako,headache,symptom,headache,moderate,neurological
feel ko nga sakit sang ulo ko subong gid,headache,symptom,headache,moderate,neurological
