entity,entity_type,normalized,status
Fever,symptom,fever,active
Cough,symptom,cough,active
Headache,symptom,headache,active
Chest Pain,symptom,chest pain,active
Difficulty Breathing,symptom,difficulty breathing,active
Shortness of Breath,symptom,shortness of breath,active
Vomiting,symptom,vomiting,active
Diarrhea,symptom,diarrhea,active
Abdominal Pain,symptom,abdominal pain,active
Nausea,symptom,nausea,active
Dizziness,symptom,dizziness,active
Fatigue,symptom,fatigue,active
Sore Throat,symptom,sore throat,active
Runny Nose,symptom,runny nose,active
Body Pain,symptom,body pain,active
Back Pain,symptom,back pain,active
Ear Pain,symptom,ear pain,active
Eye Pain,symptom,eye pain,active
Rash,symptom,rash,active
Palpitations,symptom,palpitations,active
Confusion,symptom,confusion,active
Seizure,symptom,seizure,active
Bleeding,symptom,bleeding,active
Burn,symptom,burn,active
Weakness,symptom,weakness,active
Swelling,symptom,swelling,active
Itching,symptom,itching,active
Chills,symptom,chills,active
Loss of Appetite,symptom,loss of appetite,active
Urinary Pain,symptom,urinary pain,active
Constipation,symptom,constipation,active
Insomnia,symptom,insomnia,active
Wheezing,symptom,wheezing,active
Coughing Blood,symptom,coughing blood,active
Vomiting Blood,symptom,vomiting blood,active
Fainting,symptom,fainting,active
Numbness,symptom,numbness,active
Paralysis,symptom,paralysis,active
Vision Loss,symptom,vision loss,active
1-Methylhistidinuria,symptom,1-methylhistidinuria,active
1-minute APGAR Score of 0,symptom,1-minute apgar score of 0,active
1-minute APGAR Score of 1,symptom,1-minute apgar score of 1,active
1-minute APGAR Score of 2,symptom,1-minute apgar score of 2,active
1-minute APGAR Score of 3,symptom,1-minute apgar score of 3,active
1-minute APGAR Score of 4,symptom,1-minute apgar score of 4,active
1-minute APGAR Score of 5,symptom,1-minute apgar score of 5,active
1-minute APGAR Score of 6,symptom,1-minute apgar score of 6,active
10 Pairs of Ribs,symptom,10 pairs of ribs,active
10-minute APGAR Score of 0,symptom,10-minute apgar score of 0,active
10-minute APGAR Score of 1,symptom,10-minute apgar score of 1,active
10-minute APGAR Score of 2,symptom,10-minute apgar score of 2,active
10-minute APGAR Score of 3,symptom,10-minute apgar score of 3,active
10-minute APGAR Score of 4,symptom,10-minute apgar score of 4,active
10-minute APGAR Score of 5,symptom,10-minute apgar score of 5,active
10-minute APGAR Score of 6,symptom,10-minute apgar score of 6,active
11 Pairs of Ribs,symptom,11 pairs of ribs,active
11 Thoracic Vertebrae,symptom,11 thoracic vertebrae,active
2 Vessel Cord,symptom,2 vessel cord,active
2 Vessel Umbilical Cord,symptom,2 vessel umbilical cord,active
2'-deoxyadenosine (dAdo) Elevated in Urine,symptom,2'-deoxyadenosine (dado) elevated in urine,active
"2,8-dihydroxyadenine Crystalluria",symptom,"2,8-dihydroxyadenine crystalluria",active
