complaint_id,complaint,language,expected_class,status
CC00001,"No abdominal mass, only tired. [1]",english,,active
CC00002,My baby keeps vomiting. [2],english,,active
CC00003,I have diabetes and abnormal cardiomyocyte morphology. [3],english,,active
CC00004,Temperature 39.0 with abn lev substnc nonmed source in specmn from resp org/thrx. [4],english,,active
CC00005,I need a follow-up. [5],english,,active
CC00006,My blood pressure is high. [6],english,,active
CC00007,Temperature 39.5 with abnormal biliary tract morphology. [7],english,,active
CC00008,I fainted. [8],english,,active
CC00009,My wound is infected. [9],english,,active
CC00010,I have been experiencing 2nd toe symphalangism. [10],english,,active
CC00011,Severe abnormal biliary tract morphology since 3 hours. [11],english,,active
CC00012,I have abnormal brain scan for 3 hours. [12],english,,active
CC00013,Pain 7/10 in my arm for today. [13],english,,active
CC00014,I have abnormal blood glucose concentration. [14],english,,active
CC00015,Severe abnormal blood sodium concentration since 1 day. [15],english,,active
CC00016,My chest hurts. [16],english,,active
CC00017,My baby keeps vomiting. [17],english,,active
CC00018,"No abnormal bone ossification, only tired. [18]",english,,active
CC00019,My left arm is numb. [19],english,,active
CC00020,"No 2-hydroxyglutarate aciduria, only tired. [20]",english,,active
CC00021,My sugar is high. [21],english,,active
CC00022,I have abnormal bmi. [22],english,,active
CC00023,My wound is infected. [23],english,,active
CC00024,I feel abn lev enzymes in specimens from dgstv org/abd cav. [24],english,,active
CC00025,I have asthma and ear pain. [25],english,,active
CC00026,Severe abdominal aseptic abscess since 1 day. [26],english,,active
CC00027,Temperature 37.8 with abnormal adrenal morphology. [27],english,,active
CC00028,I need a follow-up. [28],english,,active
CC00029,My sugar is high. [29],english,,active
CC00030,Pain 5/10 in my back for 1 week. [30],english,,active
CC00031,My sugar is high. [31],english,,active
CC00032,My wound is infected. [32],english,,active
CC00033,I fainted. [33],english,,active
CC00034,I feel abnormal 4th toe morphology. [34],english,,active
CC00035,Mild abnormal alveolar ridge morphology today. [35],english,,active
CC00036,I need a follow-up. [36],english,,active
CC00037,My sugar is high. [37],english,,active
CC00038,I am pregnant and have 5-minute apgar score of 2. [38],english,,active
CC00039,My wound is infected. [39],english,,active
CC00040,Temperature 39.5 with abnormal belly button. [40],english,,active
CC00041,I have asthma and abnormal blood glucose concentration. [41],english,,active
CC00042,I am pregnant and have abnormal calf muscles. [42],english,,active
CC00043,I cannot breathe. [43],english,,active
CC00044,Severe abnormal blood carbon dioxide level since since yesterday. [44],english,,active
CC00045,My baby keeps vomiting. [45],english,,active
CC00046,My child has aberrant right subclavian artery. [46],english,,active
CC00047,My blood pressure is high. [47],english,,active
CC00048,I have abnormal 5th finger phalanx morphology for 3 days. [48],english,,active
CC00049,Pain 4/10 in my throat for since yesterday. [49],english,,active
CC00050,Mild abn histolog findings in specmn from male genital organs today. [50],english,,active
CC00051,My wound is infected. [51],english,,active
CC00052,"No abnormal cd69 upregulation upon tcr activation, only tired. [52]",english,,active
