emotion,phrase,language
worried,gaulan pa daan,hil
worried,grabe ang ulan,hil
worried,basi indi ko makakadto,hil
worried,paano na lang ni,hil
worried,paano na ni,hil
anxious,gakulbaan ko magpa check,hil
anxious,gakulbaan ko magpa-check up,hil
anxious,kinabahan ko magpa check,hil
stressed,kapoy na ko sa tanan,hil
hopeless,di ko na kaya,hil
hopeless,wala na pulos,hil
hopeless,mabuhi pa ko,hil
hopeless,gusto ko mag untat,hil
lonely,wala gid ko may kastorya,hil
confused,indi ko kasabat,hil
confused,wala ko kabalo,hil
confused,ano ubrahon ko,hil
confused,ngaa amo ni,hil
frustrated,wala signal gid,hil
worried,nadula signal,hil
worried,gadula signal ko,hil
worried,hinay signal,hil
frustrated,wala internet,hil
frustrated,putol putol ang connection,hil
frustrated,ga lag ang video,hil
worried,wala ko kabati,hil
worried,wala ko kwarta,hil
worried,wala ko budget,hil
worried,indi ko kaya magbayad,hil
curious,may libre nga consultation,hil
worried,wala ko pamasahe,hil
worried,wala ko masakyan,hil
worried,layo amon,hil
worried,budlay magkadto,hil
curious,masaligan ni bala,hil
curious,safe bala ni,hil
curious,confidential bala ni,hil
curious,makita bala ni sang iban,hil
curious,tinuod bala ni,hil
frustrated,nadula akon appointment,hil
frustrated,di ko makita ang doctor,hil
mixed,gaulan kag wala signal,hil
mixed,wala signal kag wala kwarta,hil
mixed,gaulan wala signal wala kwarta paano na,hil
sad,hays,hil
sad,hay naku,hil
worried,grabe,hil
tired,kapoy,hil
afraid,nahadlok,hil
hopeless,di ko kaya,hil
confused,wala ko idea,hil
worried,ano na,hil
relieved,tani okay lang,hil
thankful,tabangi ko bi,hil
thankful,buligi ko bi,hil
happy,hopeful ko,hil
happy,calm na ko,hil
proud,proud ko,hil
