hiligaynon_pattern,english_pattern,triage_level,severity,medical_category,reason,body_system,status
budlay magginhawa ko,difficulty breathing,emergency,critical,respiratory,Emergency — breathing difficulty,respiratory,active
grabe gid nagadugo bilat ko,severe vaginal bleeding,emergency,critical,gynecologic_symptom,Emergency — severe bleeding,gynecologic_symptom,active
indi mapunggan ang dugo sa ari,uncontrolled penile bleeding,emergency,critical,male_reproductive_symptom,Emergency — uncontrolled bleeding,male_reproductive_symptom,active
masakit dughan ko,chest pain,emergency,severe,cardiovascular,Emergency — chest pain,cardiovascular,active
nagdugo ulo ko,head bleeding,emergency,critical,trauma,Auto-rule: bleeding + head,neurological,active
naguyam ko,seizure,emergency,critical,neurological,Seizure activity — emergency neurological assessment,neurological,active
nautod ari ko,penis amputation,emergency,critical,trauma,Auto-rule: amputation + penis,male_reproductive,active
wala ko maka-ihi,urinary retention,emergency,severe,urinary,Pattern rule,general,active
gakatol bilat ko,vagina itching,non_urgent,mild,dermatological,Auto-rule: itching + vagina,female_reproductive,active
galagas buhok ko,hair loss,non_urgent,mild,dermatological,Non-acute hair loss — routine consultation,dermatological,active
kakatol bilat ko,vaginal itching,non_urgent,mild,female_reproductive_symptom,Routine reproductive symptom,female_reproductive_symptom,active
sakit ulo ko,head pain,non_urgent,mild,neurological,Mild headache without neurological deficits,neurological,active
ubo ko,cough,non_urgent,mild,respiratory,Pattern rule,general,active
alta presyon ko,hypertension,urgent,moderate,cardiovascular,Elevated blood pressure symptoms — urgent monitoring,cardiovascular,active
gadugo ari ko,penile bleeding,urgent,severe,male_reproductive_symptom,Genital bleeding — urgent care,male_reproductive_symptom,active
gadugo bilat ko,vaginal bleeding,urgent,severe,gynecologic_symptom,Vaginal bleeding — urgent care,gynecologic_symptom,active
gahabok itlog ko,testicle swelling,urgent,moderate,male_reproductive,Auto-rule: swelling + testicle,male_reproductive,active
gahubag itlog ko,testicular swelling,urgent,moderate,male_reproductive_symptom,Testicular swelling — urgent evaluation,male_reproductive_symptom,active
ginabaldom gid ko,severe abdominal pain,urgent,moderate,gastrointestinal,Significant abdominal pain — urgent surgical/medical evaluation,gastrointestinal,active
ginahilanat gid ko,fever,urgent,moderate,general,Combinatorial auto-rule,general,active
ginahilanat ko kag gahika ko,fever with cough,urgent,moderate,respiratory,Fever with respiratory symptoms — assess for systemic infection,respiratory,active
ginkagat sang ido ko,dog bite,urgent,moderate,infection,Animal bite — wound care and rabies prophylaxis assessment,infection,active
masakit pag-ihi ko,painful urination,urgent,moderate,urinary,Dysuria may indicate UTI — timely treatment needed,urinary,active
may nana akon mata,eye infection,urgent,moderate,infection,Eye pain with purulent discharge suggests ocular infection,infection,active
may nana sa ari ko,penile infection,urgent,severe,infection,Possible genital infection — urgent evaluation,infection,active
may nana sa bilat ko,vaginal infection,urgent,severe,infection,Possible genital infection — urgent evaluation,infection,active
gahabok dila ko,tongue swelling,emergency,severe,oral,Auto-rule: swelling + tongue,oral,active
gahabok ngabil ko,lip swelling,emergency,severe,oral,Auto-rule: swelling + lip,oral,active
gahabok tungod ko,throat swelling,emergency,severe,ent,Auto-rule: swelling + throat,ent,active
gahabok mata ko,eye swelling,urgent,moderate,eye_condition,Auto-rule: swelling + eye,ophthalmologic,active
gahabok talukap mata ko,eyelid swelling,urgent,moderate,eye_condition,Auto-rule: swelling + eyelid,ophthalmologic,active
gahabok kamot ko,hand swelling,urgent,moderate,musculoskeletal_symptom,Auto-rule: swelling + hand,musculoskeletal,active
gahabok tudlo ko,finger swelling,non_urgent,mild,musculoskeletal_symptom,Auto-rule: swelling + finger,musculoskeletal,active
gahabok bilat ko,vagina swelling,urgent,moderate,female_reproductive,Auto-rule: swelling + vagina,female_reproductive,active
