local_term,english_term,language,status
putol ang kamot ko,hand cut off,hiligaynon,active
putol ang kamot,hand cut off,hiligaynon,active
putol kamot ko,hand cut off,hiligaynon,active
naputol ang kamot,hand amputation,hiligaynon,active
putol ang tudlo ko,finger cut off,hiligaynon,active
nautod,amputation,hiligaynon,active
3 ka adlaw gahika ko,cough,hiligaynon,active
3 ka adlaw gahubag tiyan ko,abdominal swelling,hiligaynon,active
3 ka adlaw galuya lawas ko,body weakness,hiligaynon,active
3 ka adlaw gasakit ulo ko,head pain,hiligaynon,active
3 ka adlaw ginadudul-om ko,diarrhea,hiligaynon,active
3 ka adlaw ginahilanat ko,fever,hiligaynon,active
3 ka adlaw may nana akon mata,eye infection,hiligaynon,active
3 ka adlaw may pilas ko sa kamot,hand wound,hiligaynon,active
3 ka adlaw na gahubag kamot ko kag nagdugo kamot ko,hand swelling with bleeding,hiligaynon,active
3 ka adlaw na gahubag lawas ko kag gakatol lawas ko,body swelling with itching,hiligaynon,active
3 ka adlaw na gahubag mata ko kag gahika ko,eye swelling with cough,hiligaynon,active
3 ka adlaw na gahubag tungod ko kag ginahilanat ko,throat swelling with fever,hiligaynon,active
3 ka adlaw na galuya ko kag ginahilanat ko,weakness with fever,hiligaynon,active
3 ka adlaw na gasakit ulo ko kag ginahilanat ko,head pain with fever,hiligaynon,active
3 ka adlaw na ginahilanat ko kag ginabaldom ko,fever with abdominal pain,hiligaynon,active
3 ka adlaw na ginahilanat ko kag ubo ko,fever with cough,hiligaynon,active
3 ka adlaw na ginasuka ko kag ginadudul-om ko,vomiting with diarrhea,hiligaynon,active
3 ka adlaw na may nana mata ko kag gapula mata ko,eye infection with red eye,hiligaynon,active
3 ka adlaw na nagdugo pilas ko kag ginahilanat ko,bleeding wound with fever,hiligaynon,active
3 ka adlaw na nagdugo ulo ko kag nahilo ko,head bleeding with dizziness,hiligaynon,active
3 ka adlaw na nahilo ko kag ginahilanat ko,dizziness with fever,hiligaynon,active
3 ka adlaw na sakit dughan ko kag dula ginhawa ko,chest pain with shortness of breath,hiligaynon,active
3 ka adlaw na sakit dughan ko kag gahika ko,chest pain with cough,hiligaynon,active
3 ka adlaw na sakit likod ko kag galuya ko,back pain with weakness,hiligaynon,active
3 ka adlaw na sakit tiyan ko kag ginasuka ko,abdominal pain with nausea,hiligaynon,active
3 ka adlaw na sakit ulo ko kag ginahilanat ko,headache with fever,hiligaynon,active
38 hilanat ko,fever,hiligaynon,active
39 hilanat ko,high fever,hiligaynon,active
5 ka adlaw gahika ko,cough,hiligaynon,active
