hiligaynon_pattern,english_pattern,triage_level,severity,status
3 ka adlaw na daw indi ko makabaton sang kamot,arm weakness,emergency,severe,active
3 ka adlaw na gahubag kag gakatol lawas ko,body swelling,emergency,severe,active
3 ka adlaw na gahubag lawas kag gakatol,body swelling,emergency,severe,active
3 ka adlaw na gahubag lawas ko kag gakatol,body swelling,emergency,severe,active
3 ka adlaw na indi ko makabaton sang kamot ko,hand arm weakness,emergency,severe,active
3 ka adlaw na lemah ang kamot ko,hand arm weakness,emergency,severe,active
5 ka adlaw na daw indi ko makabaton sang kamot,arm weakness,emergency,severe,active
5 ka adlaw na gahubag kag gakatol lawas ko,body swelling,emergency,severe,active
5 ka adlaw na gahubag lawas kag gakatol,body swelling,emergency,severe,active
5 ka adlaw na gahubag lawas ko kag gakatol,body swelling,emergency,severe,active
5 ka adlaw na indi ko makabaton sang kamot ko,hand arm weakness,emergency,severe,active
5 ka adlaw na lemah ang kamot ko,hand arm weakness,emergency,severe,active
bag-o lang daw indi ko makabaton sang kamot,arm weakness,emergency,severe,active
bag-o lang gahubag kag gakatol lawas ko,body swelling,emergency,severe,active
bag-o lang gahubag lawas kag gakatol,body swelling,emergency,severe,active
bag-o lang gahubag lawas ko kag gakatol,body swelling,emergency,severe,active
bag-o lang indi ko makabaton sang kamot ko,hand arm weakness,emergency,severe,active
bag-o lang lemah ang kamot ko,hand arm weakness,emergency,severe,active
budlay magginhawa,difficulty breathing,emergency,critical,active
budlay magginhawa ko,difficulty breathing,emergency,critical,active
daw indi ko makabaton,arm weakness,emergency,severe,active
daw indi ko makabaton sang kamot,arm weakness,emergency,severe,active
daw indi ko makahambal,speech difficulty,emergency,severe,active
dugay na daw indi ko makabaton sang kamot,arm weakness,emergency,severe,active
dugay na gahubag kag gakatol lawas ko,body swelling,emergency,severe,active
dugay na gahubag lawas kag gakatol,body swelling,emergency,severe,active
dugay na gahubag lawas ko kag gakatol,body swelling,emergency,severe,active
dugay na indi ko makabaton sang kamot ko,hand arm weakness,emergency,severe,active
dugay na lemah ang kamot ko,hand arm weakness,emergency,severe,active
dula ginhawa,shortness of breath,emergency,critical,active
gahabok dila ko,tongue swelling,emergency,severe,active
gahabok lawas ko,body swelling,emergency,severe,active
gahabok ngabil ko,lip swelling,emergency,severe,active
gahabok tungod ko,throat swelling,emergency,severe,active
gahubag kag gakatol lawas ko,body swelling,emergency,severe,active
gahubag lawas kag gakatol,body swelling,emergency,severe,active
gahubag lawas ko kag gakatol,body swelling,emergency,severe,active
gasakit dughan ko,chest pain,emergency,severe,active
grabe gid nagadugo,severe bleeding,emergency,critical,active
grabe gid nagadugo bilat ko,severe vaginal bleeding,emergency,critical,active
grabe gid nagdugo,severe bleeding,emergency,critical,active
gusto ko magpakamatay,suicidal ideation,emergency,critical,active
indi ko makabaton sang kamot ko,hand arm weakness,emergency,severe,active
indi ko makaginhawa,cannot breathe,emergency,critical,active
indi mapunggan ang dugo sa ari,uncontrolled penile bleeding,emergency,critical,active
lemah ang kamot ko,hand arm weakness,emergency,severe,active
masakit dughan,chest pain,emergency,severe,active
masakit dughan ko,chest pain,emergency,severe,active
nabunggo ko sa salakyan,vehicle collision,emergency,critical,active
nagdugo ulo,head bleeding,emergency,critical,active
nagdugo ulo ko,head bleeding,emergency,critical,active
naguyam,seizure,emergency,critical,active
naguyam ko,seizure,emergency,critical,active
nakuryente,electrical injury,emergency,critical,active
nasunog lawas ko,body burn,emergency,severe,active
nautod,amputation,emergency,critical,active
nautod ari ko,penis amputation,emergency,critical,active
nautod tudlo ko,finger amputation,emergency,critical,active
wala ko maka-ihi,urinary retention,emergency,severe,active
gahabok bukongbukong ko,ankle swelling,non_urgent,mild,active
gahabok tiil ko,foot swelling,non_urgent,mild,active
gahabok tudlo ko,finger swelling,non_urgent,mild,active
gahabok tuhod ko,knee swelling,non_urgent,mild,active
gakatol bilat ko,vagina itching,non_urgent,mild,active
gakatol kamot ko,hand itching,non_urgent,mild,active
gakatol lawas ko,body itching,non_urgent,mild,active
gakatol mata ko,eye itching,non_urgent,mild,active
galagas buhok,hair loss,non_urgent,mild,active
galagas buhok ko,hair loss,non_urgent,mild,active
gapula kamot ko,hand redness,non_urgent,mild,active
gapula mata,eye redness,non_urgent,mild,active
gapula mata ko,eye redness,non_urgent,mild,active
gasakit tudlo ko,finger pain,non_urgent,mild,active
gasakit tuhod ko,knee pain,non_urgent,mild,active
gasakit ulo ko,head pain,non_urgent,mild,active
kakatol bilat,vaginal itching,non_urgent,mild,active
kakatol bilat ko,vaginal itching,non_urgent,mild,active
sakit ulo,headache,non_urgent,mild,active
sakit ulo ko,head pain,non_urgent,mild,active
ubo ko,cough,non_urgent,mild,active
3 ka adlaw na ginahilanat gid ko,fever,urgent,moderate,active
5 ka adlaw na ginahilanat gid ko,fever,urgent,moderate,active
abaga akon hilanat gid,shoulder high fever,urgent,moderate,active
abaga akon ko hilanat gid,shoulder high fever,urgent,moderate,active
abaga hilanat gid,shoulder high fever,urgent,moderate,active
abaga ko akon hilanat gid,shoulder high fever,urgent,moderate,active
abaga ko hilanat gid,shoulder high fever,urgent,moderate,active
akon abaga hilanat gid,shoulder high fever,urgent,moderate,active
akon bukongbukong hilanat gid,ankle high fever,urgent,moderate,active
akon dalunggan hilanat gid,ear high fever,urgent,moderate,active
akon dughan hilanat gid,chest high fever,urgent,moderate,active
akon ilong hilanat gid,nose high fever,urgent,moderate,active
akon kilid mata hilanat gid,eyelid high fever,urgent,moderate,active
akon ko abaga hilanat gid,shoulder high fever,urgent,moderate,active
akon ko bukongbukong hilanat gid,ankle high fever,urgent,moderate,active
akon ko dalunggan hilanat gid,ear high fever,urgent,moderate,active
akon ko dughan hilanat gid,chest high fever,urgent,moderate,active
akon ko ilong hilanat gid,nose high fever,urgent,moderate,active
akon ko kilid mata hilanat gid,eyelid high fever,urgent,moderate,active
