emotion,phrase,language
sad,naguol ko,hil
sad,naghuoy ko,hil
sad,daw gusto ko maghibi,hil
sad,gusto ko maghibi,hil
sad,nagkasubo ko,hil
sad,subo gid ko,hil
sad,subo gid ya,hil
sad,malain gid pamatyagon ko,hil
sad,budlay gid ang adlaw ko,hil
sad,wala laman ko,hil
sad,feeling empty ko,hil
sad,broken heart ko,hil
sad,heartbroken ko,hil
sad,hay grabe,hil
sad,hay grabe ya,hil
sad,sigh,hil
lonely,miss ko ang pamilya,hil
lonely,miss ko sila,hil
lonely,miss ko ang balay,hil
lonely,wala ko sang kaistoryahan,hil
lonely,isa lang gid ko,hil
lonely,daw wala ko upod,hil
worried,nagabalaka ko,hil
worried,ginakabalaka ko,hil
worried,basi may problema,hil
worried,basi delikado,hil
worried,kabalaka gid ko,hil
worried,nabalaka gid ko subong,hil
anxious,kinabahan ko,hil
anxious,kinabahan ko sa konsultasyon,hil
anxious,kulba gid ko subong,hil
anxious,daw indi ko kaya,hil
anxious,indi ko kaya na,hil
afraid,nahadlok ko magpa check up,hil
afraid,nahadlok ko sa ospital,hil
afraid,takot gid ko,hil
afraid,medyo nahadlok ko,hil
stressed,sobra nga stress,hil
stressed,sobra stress ko,hil
stressed,stress gid ya,hil
stressed,grabeng problema,hil
stressed,daw indi ko kaya tanan,hil
tired,pagod na gid ko ya,hil
tired,kapoy na ko sa tanan,hil
tired,wala na ko kusog,hil
tired,ginakapoy na gid ko,hil
tired,exhausted gid ko,hil
frustrated,badtrip ko,hil
frustrated,bad trip ko,hil
frustrated,indi gid mag work,hil
frustrated,indi gid mag function,hil
frustrated,tama na ya,hil
frustrated,tama na,hil
irritated,nainis gid ko,hil
irritated,nainis ko gid ya,hil
irritated,astang grabe,hil
irritated,asta grabe,hil
angry,akig na gid ko,hil
angry,akig gid ya,hil
angry,galit na ko,hil
angry,sobra akig ko,hil
disappointed,nadismaya gid ko,hil
disappointed,bitin gid,hil
disappointed,indi ko ginalauman,hil
hopeless,wala gid ko paglaum,hil
hopeless,daw wala na solusyon,hil
hopeless,walang saysay,hil
hopeless,wala sense,hil
hopeless,indi ko gusto magpadayon,hil
grief,naglubong ang tatay ko,hil
grief,namatay ang lola ko,hil
grief,nawala ang mahal ko,hil
embarrassed,nahuya gid ko,hil
embarrassed,huya gid ko,hil
embarrassed,nakahuya ko,hil
ashamed,may hiya ko,hil
ashamed,nahuya ko magpa check,hil
guilty,may guilt ko,hil
guilty,guilty gid ko,hil
guilty,kasalanan ko ini,hil
jealous,naiinggit ko,hil
jealous,selos ko,hil
jealous,inggit ko sa ila,hil
bored,wala gid ko gana,hil
bored,bored gid ko,hil
bored,indi ko gusto maghimo,hil
confused,naglibog ko,hil
confused,libog ko,hil
confused,ano ah,hil
confused,anu ah,hil
confused,ano ni ya,hil
uncertain,indi ko sure,hil
uncertain,di ko sure,hil
uncertain,hindi ko alam,hil
uncertain,indi ko maintindihan,hil
uncertain,wala ko kasabot gid,hil
happy,lipay gid ko,hil
happy,masadya gid ko,hil
happy,nami gid ang pamatyag ko,hil
happy,sobra lipay ko,hil
happy,hahaha grabe,hil
thankful,salamat kaayo gid,hil
thankful,damo gid nga salamat,hil
thankful,thank you gid kaayo,hil
thankful,salamat sa bulig gid,hil
relieved,ginhawa na gid ko,hil
relieved,okay na gid tanan,hil
relieved,maayo na gid,hil
excited,sabik na gid ko,hil
excited,excited gid ya,hil
excited,daw indi ko makahulat,hil
surprised,grabe gid ya,hil
surprised,grabe kaayo,hil
surprised,wow gid,hil
surprised,nagulat gid ko,hil
affectionate,miss ko kamo,hil
affectionate,gihigugma ko kamo,hil
affectionate,malambing ko subong,hil
mixed,pero ginakulbaan ko,hil
mixed,pero nabalaka ko,hil
mixed,pero sad ko,hil
mixed,pero akig ko,hil
mixed,pero indi ko gusto,hil
mixed,okay lang pero nahadlok,hil
mixed,okay pero sad,hil
panic,buligi ko daw,hil
panic,tabangi ko daw,hil
panic,kinahanglan ko sang dulungan,hil
panic,ano himuon ko na,hil
panic,ano na himuon ko,hil
panic,daw wala ko kabalo,hil
pain,gasakit lawas ko,hil
pain,masakit gid ang ulo ko,hil
pain,sakit gid ang tiyan ko,hil
sick,may sipon ko,hil
sick,may ubo ko,hil
sick,gasuka ko subong,hil
sick,daw may hilanat ko,hil
overwhelmed,daw wala na ko gana,hil
overwhelmed,wala na ko gana sa tanan,hil
overwhelmed,sobra nga problema,hil
thankful,amo gid salamat,hil
thankful,oo gid salamat,hil
thankful,sige salamat,hil
uncertain,indi ko gusto pero,hil
uncertain,indi gid ko gusto,hil
uncertain,wala ko gusto,hil
happy,sige lang ko,hil
happy,medyo okay lang,hil
happy,medyo okay,hil
frustrated,yawa,hil
frustrated,bwesit na,hil
worried,d nko kaginhawa,hil
worried,budlay ginhawa,hil
afraid,d nko mahadlok,hil
sad,d ko kaya,hil
sad,wla ko gana,hil
confused,d ko kasabot,hil
anxious,d ko mapanatag,hil
tired,wla ko kusog,hil
stressed,grabeng stress gid,hil
lonely,wla ko storya,hil
happy,amo man,hil
happy,oo man,hil
thankful,amo gid man,hil
mixed,pero man,hil
mixed,pero gid,hil
sad,indi man,hil
worried,basi lang,hil
curious,ano man ini,hil
curious,paano man,hil
