case_id,disease,language,transcript,symptom_keys,symptom_count,template_id,split,source
PC-00001,Fungal infection,english,"I have been having dischromic patches, itching, nodal skin eruptions and skin rash for a few days.",dischromic_patches;itching;nodal_skin_eruptions;skin_rash,4,en_1,train,archive_source/dataset.csv
PC-00002,Fungal infection,english,"The patient complains of dischromic patches, itching, nodal skin eruptions and skin rash.",dischromic_patches;itching;nodal_skin_eruptions;skin_rash,4,en_2,train,archive_source/dataset.csv
PC-00003,Fungal infection,english,"My symptoms include dischromic patches, itching, nodal skin eruptions and skin rash.",dischromic_patches;itching;nodal_skin_eruptions;skin_rash,4,en_3,train,archive_source/dataset.csv
PC-00004,Fungal infection,english,"For the past week I have experienced dischromic patches, itching, nodal skin eruptions and skin rash.",dischromic_patches;itching;nodal_skin_eruptions;skin_rash,4,en_4,train,archive_source/dataset.csv
PC-00005,Fungal infection,english,"I came in because of dischromic patches, itching, nodal skin eruptions and skin rash.",dischromic_patches;itching;nodal_skin_eruptions;skin_rash,4,en_5,train,archive_source/dataset.csv
PC-00006,Fungal infection,english,"Lately I feel dischromic patches, itching, nodal skin eruptions and skin rash.",dischromic_patches;itching;nodal_skin_eruptions;skin_rash,4,en_6,train,archive_source/dataset.csv
PC-00007,Fungal infection,hiligaynon,"May dischromic patches, katol, nodal skin eruptions, kag rashes ako.",dischromic_patches;itching;nodal_skin_eruptions;skin_rash,4,hil_1,train,archive_source/dataset.csv
PC-00008,Fungal infection,hiligaynon,"Ang pasyente may dischromic patches, katol, nodal skin eruptions, kag rashes.",dischromic_patches;itching;nodal_skin_eruptions;skin_rash,4,hil_2,train,archive_source/dataset.csv
PC-00009,Fungal infection,hiligaynon,"Nagabalati ako sang dischromic patches, katol, nodal skin eruptions, kag rashes.",dischromic_patches;itching;nodal_skin_eruptions;skin_rash,4,hil_3,train,archive_source/dataset.csv
PC-00010,Fungal infection,hiligaynon,"Subong may dischromic patches, katol, nodal skin eruptions, kag rashes ang pasyente.",dischromic_patches;itching;nodal_skin_eruptions;skin_rash,4,hil_4,train,archive_source/dataset.csv
