emotion,phrase,language
affectionate,about being back at work after a lovely long weekend pfft,en
affectionate,back work lovely long weekend pfft ko,hil
affectionate,back work lovely long weekend pfft ako,fil
affectionate,about hamburger buns that also includes hot dog buns,en
affectionate,hamburger buns includes hot dog buns ko,hil
affectionate,hamburger buns includes hot dog buns ako,fil
affectionate,about it today i accepted a promotion at work,en
affectionate,accepted promotion work ko,hil
affectionate,accepted promotion work ako,fil
affectionate,about my beloved,en
affectionate,beloved ko,hil
affectionate,beloved ako,fil
affectionate,about not working at a company which adheres to that most,en
affectionate,not working company which adheres ko,hil
affectionate,not working company which adheres ako,fil
affectionate,about supporting american workers,en
affectionate,supporting american workers ko,hil
affectionate,supporting american workers ako,fil
affectionate,about sweet baby kicks because it will be a whole other st,en
affectionate,sweet baby kicks whole other ko,hil
affectionate,sweet baby kicks whole other ako,fil
affectionate,about that i liked my roman nose,en
affectionate,liked roman nose ko,hil
affectionate,liked roman nose ako,fil
affectionate,about that tender subject love,en
affectionate,tender subject love ko,hil
affectionate,tender subject love ako,fil
affectionate,about this and have decided that i rather liked it when ex,en
affectionate,and decided rather liked ko,hil
affectionate,and decided rather liked ako,fil
affectionate,about this sweet young girl,en
affectionate,sweet young girl ko,hil
affectionate,sweet young girl ako,fil
affectionate,absolutely adoringly loyal to him at all,en
affectionate,absolutely adoringly loyal him all ko,hil
affectionate,absolutely adoringly loyal him all ako,fil
affectionate,accepted and contented how can people truly accept what th,en
affectionate,accepted and contented how people truly accept what ko,hil
affectionate,accepted and contented how people truly accept what ako,fil
affectionate,accepted and loved by a community of derby girls that i he,en
affectionate,accepted and ginahigugma community derby girls ko,hil
affectionate,accepted and minamahal community derby girls ako,fil
affectionate,accepted by others that share the same passion and love th,en
affectionate,accepted others share same passion and love ko,hil
affectionate,accepted others share same passion and love ako,fil
affectionate,accepted in a non judgemental way can be healing,en
affectionate,accepted non judgemental way healing ko,hil
affectionate,accepted non judgemental way healing ako,fil
affectionate,accepted is in my day dreams where i always get to be the,en
affectionate,accepted day dreams where get ko,hil
affectionate,accepted day dreams where get ako,fil
affectionate,accepted now,en
affectionate,accepted ko,hil
affectionate,accepted ako,fil
affectionate,accepted or feeling like you belong to a group makes every,en
affectionate,accepted feeling belong group makes every ko,hil
affectionate,accepted feeling belong group makes every ako,fil
affectionate,affectionate here lately,en
affectionate,malambing lately ko,hil
affectionate,affectionate lately ako,fil
affectionate,after i eat something naughty,en
affectionate,eat something naughty ko,hil
affectionate,eat something naughty ako,fil
affectionate,agitated and restless about this theory of letting go and,en
affectionate,agitated and restless theory letting and ko,hil
affectionate,agitated and restless theory letting and ako,fil
affectionate,all nostalgic now writing this finishing high school is a,en
affectionate,all nostalgic writing finishing high school ko,hil
affectionate,all nostalgic writing finishing high school ako,fil
affectionate,all nostalgic while some of my friends have been counting,en
affectionate,all nostalgic some friends counting ko,hil
affectionate,all nostalgic some friends counting ako,fil
affectionate,all of you all of us eternally devoted to love choosing to,en
affectionate,all all eternally devoted love choosing ko,hil
affectionate,all all eternally devoted love choosing ako,fil
affectionate,almost affectionate towards him but i also know a more sel,en
affectionate,almost malambing towards him but know sel ko,hil
affectionate,almost affectionate towards him but know sel ako,fil
affectionate,almost overwhelmingly passionate sometimes when,en
affectionate,almost overwhelmingly passionate sometimes ko,hil
affectionate,almost overwhelmingly passionate sometimes ako,fil
affectionate,already feeling nostalgic just looking at the po,en
affectionate,already feeling nostalgic looking ko,hil
affectionate,already feeling nostalgic looking ako,fil
affectionate,always seeking out opportunities to get more inv,en
affectionate,seeking out opportunities get inv ko,hil
affectionate,seeking out opportunities get inv ako,fil
affectionate,and also how i dont about supporting moms to breastfeed fo,en
affectionate,and how dont supporting moms breastfeed ko,hil
affectionate,and how dont supporting moms breastfeed ako,fil
affectionate,and am sympathetic to your needs,en
affectionate,and sympathetic needs ko,hil
affectionate,and sympathetic needs ako,fil
affectionate,and are choosing to stay loyal to the publication,en
affectionate,and choosing stay loyal publication ko,hil
affectionate,and choosing stay loyal publication ako,fil
affectionate,and caring for myself,en
affectionate,and caring myself ko,hil
affectionate,and caring myself ako,fil
affectionate,and i feel exactly how i did before as a romantic stuck,en
affectionate,and feel exactly how romantic stuck ko,hil
affectionate,and feel exactly how romantic stuck ako,fil
affectionate,and if ive liked being pregnant,en
affectionate,and ive liked pregnant ko,hil
affectionate,and ive liked pregnant ako,fil
affectionate,and my breasts are still tender from time to time but that,en
affectionate,and breasts tender time time but ko,hil
affectionate,and breasts tender time time but ako,fil
affectionate,and my life and delicate to somebody special,en
affectionate,and life and delicate somebody special ko,hil
affectionate,and life and delicate somebody special ako,fil
affectionate,and only wants the best for me,en
affectionate,and wants best ko,hil
affectionate,and wants best ako,fil
affectionate,and passionate i like to give them the angelyne experience,en
affectionate,and passionate give them angelyne experience ko,hil
affectionate,and passionate give them angelyne experience ako,fil
affectionate,andersen misstepped in neglecting the romantic subplot for,en
affectionate,andersen misstepped neglecting romantic subplot ko,hil
affectionate,andersen misstepped neglecting romantic subplot ako,fil
affectionate,appreciative and loving today,en
affectionate,appreciative and mapinangga ko,hil
affectionate,appreciative and loving ako,fil
affectionate,as a boy towards beloved,en
affectionate,boy towards beloved ko,hil
affectionate,boy towards beloved ako,fil
affectionate,as i never had a chance to fully heal without still having,en
affectionate,chance fully heal without having ko,hil
affectionate,chance fully heal without having ako,fil
affectionate,as if he is doing almost nothing at all to be supportive o,en
affectionate,doing almost nothing all supportive ko,hil
affectionate,doing almost nothing all supportive ako,fil
affectionate,as if i am loved and accepted and that i have been here mu,en
affectionate,ginahigugma and accepted and ko,hil
affectionate,minamahal and accepted and ako,fil
affectionate,as if i can give no more to love without being loved alway,en
affectionate,give love without ginahigugma alway ko,hil
