id,medical_condition,symptom,category,severity_level,urgency_score,emergency_flag,recommended_action,provider_required,hospital_referral,language,synonyms,keywords,hiligaynon_term,status
CTS0001,abdomen infection,abdomen infection,Infection,NON_URGENT,20,0,Schedule a routine consultation with a healthcare provider.,0,0,en;hil,may nana akon tiyan;may nana ko sa tiyan;may nana sa akon tiyan;may nana sa tiyan ko;may nana tiyan;may nana tiyan ko,abdomen infection,may nana akon tiyan,active
CTS0002,abdominal burn,abdominal burn,Burn,URGENT,55,0,Consult a healthcare provider as soon as possible (same day / within hours).,1,0,en;hil,mapula nasunog tiyan ko;may pilas nasunog sa tiyan ko;nasunog akon tiyan;nasunog gid tiyan ko;nasunog ko ang tiyan;nasunog tiyan ko,abdominal burn,mapula nasunog tiyan ko,active
CTS0003,abdominal wound,abdominal wound,Wound,URGENT,55,0,Consult a healthcare provider as soon as possible (same day / within hours).,1,0,en;hil,may pilas ako sa tiyan;may pilas akon tiyan;may pilas ko sa tiyan;may pilas sa tiyan ko;nagdugo ang pilas sa tiyan ko;nagdugo pilas ko sa tiyan;nagdugo pilas sa tiyan ko,abdominal wound,may pilas ako sa tiyan,active
CTS0004,allergic airway obstruction,allergic airway obstruction,Emergency,EMERGENCY,90,1,Seek emergency medical care immediately / call emergency services.,1,1,en;hil,daw indi ko maka-ginhawa tungod sa alerdyi,allergic airway obstruction,daw indi ko maka-ginhawa tungod sa alerdyi,active
CTS0005,allergy,itchiness;rash;sneezing,Allergy,URGENT,55,0,Consult a healthcare provider as soon as possible (same day / within hours).,1,0,en;hil,alergiya;allergy;may allergy,allergy,allergy,active
CTS0006,amputated arm,amputated arm,Trauma,EMERGENCY,90,1,Seek emergency medical care immediately / call emergency services.,1,1,en;hil,nautod acun buuk;nautod akon buuk;nautod ang acun buuk;nautod ang akon buuk;nautod ang buuk ko;nautod ang buuk ku;nautod buuk ko;nautod buuk ku;nautod gid acun buuk;nautod gid akon buuk;nautod gid buuk ko;nautod gid buuk ku;nautod ko ang acun buuk;nautod ko ang akon buuk;nautod ko ang buuk ko;nautod ku ang akon buuk;nautod ku ang buuk ko;nautod na akon buuk;nautod na ang akon buuk;nautod na ang buuk ko;nautod na buuk ko;nautod na gid akon buuk;nautod na gid buuk ko;nautod na ko ang akon buuk;nautod na ko ang buuk ko,amputated arm,nautod acun buuk,active
CTS0007,amputated finger,amputated finger,Trauma,EMERGENCY,90,1,Seek emergency medical care immediately / call emergency services.,1,1,en;hil,bag-o lang nautod na tudlo ko sang makina gid;bag-o lang nautod na tudlo ko sang makina gid ko;bag-o lang nautod na tudlo ko sang makina ko gid;bag-o lang nautod na tudlo ko sang makina man;bag-o lang nautod na tudlo ko sang makina na gid;bag-o lang nautod tudlo ko sang makina gid;bag-o lang nautod tudlo ko sang makina gid ko;bag-o lang nautod tudlo ko sang makina ko gid;bag-o lang nautod tudlo ko sang makina man;bag-o lang nautod tudlo ko sang makina na gid;bag-o lang nautod tudlo ku sang makina gid;bag-o lang nautod tudlo ku sang makina gid ko;bag-o lang nautod tudlo ku sang makina ko gid;bag-o lang nautod tudlo ku sang makina man;bag-o lang nautod tudlo ku sang makina na gid;basin nautod na tudlo ko sang makina gid;basin nautod na tudlo ko sang makina gid ko;basin nautod na tudlo ko sang makina ko gid;basin nautod na tudlo ko sang makina man;basin nautod na tudlo ko sang makina na gid;basin nautod tudlo ko sang makina gid;basin nautod tudlo ko sang makina gid ko;basin nautod tudlo ko sang makina ko gid;basin nautod tudlo ko sang makina man;basin nautod tudlo ko sang makina na gid;basin nautod tudlo ku sang makina gid;basin nautod tudlo ku sang makina gid ko;basin nautod tudlo ku sang makina ko gid;basin nautod tudlo ku sang makina man;basin nautod tudlo ku sang makina na gid;daw nautod na tudlo ko sang makina gid;daw nautod na tudlo ko sang makina gid ko;daw nautod na tudlo ko sang makina ko gid;daw nautod na tudlo ko sang makina man;daw nautod na tudlo ko sang makina na gid;daw nautod tudlo ko sang makina gid;daw nautod tudlo ko sang makina gid ko;daw nautod tudlo ko sang makina ko gid;daw nautod tudlo ko sang makina man;daw nautod tudlo ko sang makina na gid;daw nautod tudlo ku sang makina gid;daw nautod tudlo ku sang makina gid ko;daw nautod tudlo ku sang makina ko gid;daw nautod tudlo ku sang makina man;daw nautod tudlo ku sang makina na gid;dugay na nautod na tudlo ko sang makina gid;dugay na nautod na tudlo ko sang makina gid ko;dugay na nautod na tudlo ko sang makina ko gid;dugay na nautod na tudlo ko sang makina man;dugay na nautod na tudlo ko sang makina na gid;dugay na nautod tudlo ko sang makina gid;dugay na nautod tudlo ko sang makina gid ko;dugay na nautod tudlo ko sang makina ko gid;dugay na nautod tudlo ko sang makina man;dugay na nautod tudlo ko sang makina na gid;dugay na nautod tudlo ku sang makina gid;dugay na nautod tudlo ku sang makina gid ko;dugay na nautod tudlo ku sang makina ko gid;dugay na nautod tudlo ku sang makina man;dugay na nautod tudlo ku sang makina na gid;ginabalaka ko nautod na tudlo ko sang makina gid;ginabalaka ko nautod na tudlo ko sang makina gid ko;ginabalaka ko nautod na tudlo ko sang makina ko gid;ginabalaka ko nautod na tudlo ko sang makina man;ginabalaka ko nautod na tudlo ko sang makina na gid;ginabalaka ko nautod tudlo ko sang makina gid;ginabalaka ko nautod tudlo ko sang makina gid ko;ginabalaka ko nautod tudlo ko sang makina ko gid;ginabalaka ko nautod tudlo ko sang makina man;ginabalaka ko nautod tudlo ko sang makina na gid;ginabalaka ku nautod tudlo ko sang makina gid;ginabalaka ku nautod tudlo ko sang makina gid ko;ginabalaka ku nautod tudlo ko sang makina ko gid;ginabalaka ku nautod tudlo ko sang makina man;ginabalaka ku nautod tudlo ko sang makina na gid;ginpangayo ko doctor nautod na tudlo ko sang makina gid;ginpangayo ko doctor nautod na tudlo ko sang makina gid ko;ginpangayo ko doctor nautod na tudlo ko sang makina ko gid;ginpangayo ko doctor nautod na tudlo ko sang makina man;ginpangayo ko doctor nautod na tudlo ko sang makina na gid;ginpangayo ko doctor nautod tudlo ko sang makina gid;ginpangayo ko doctor nautod tudlo ko sang makina gid ko;ginpangayo ko doctor nautod tudlo ko sang makina ko gid;ginpangayo ko doctor nautod tudlo ko sang makina man;ginpangayo ko doctor nautod tudlo ko sang makina na gid;ginpangayo ku doctor nautod tudlo ko sang makina gid;ginpangayo ku doctor nautod tudlo ko sang makina gid ko;ginpangayo ku doctor nautod tudlo ko sang makina ko gid;ginpangayo ku doctor nautod tudlo ko sang makina man;ginpangayo ku doctor nautod tudlo ko sang makina na gid;help nautod tudlo ko;karon nautod na tudlo ko sang makina gid;karon nautod na tudlo ko sang makina gid ko;karon nautod na tudlo ko sang makina ko gid;karon nautod na tudlo ko sang makina man;karon nautod na tudlo ko sang makina na gid;karon nautod tudlo ko sang makina gid;karon nautod tudlo ko sang makina gid ko;karon nautod tudlo ko sang makina ko gid;karon nautod tudlo ko sang makina man;karon nautod tudlo ko sang makina na gid;karon nautod tudlo ku sang makina gid;karon nautod tudlo ku sang makina gid ko;karon nautod tudlo ku sang makina ko gid;karon nautod tudlo ku sang makina man;karon nautod tudlo ku sang makina na gid;nautod acun tudlo;nautod akon tudlo;nautod ang acun tudlo;nautod ang akon tudlo;nautod ang tudlo ko;nautod ang tudlo ku;nautod gid acun tudlo;nautod gid akon tudlo;nautod gid tudlo ko;nautod gid tudlo ku;nautod ko ang acun tudlo;nautod ko ang akon tudlo;nautod ko ang tudlo ko;nautod ku ang akon tudlo;nautod ku ang tudlo ko;nautod na akon tudlo;nautod na ang akon tudlo;nautod na ang tudlo ko;nautod na gid akon tudlo;nautod na gid tudlo ko;nautod na ko ang akon tudlo;nautod na ko ang tudlo ko;nautod na tudlo ko;nautod na tudlo ko sang makina;nautod tudlo ko;nautod tudlo ko sang makina;nautod tudlo ku;nautod tudlo ku sang makina;subong nautod na tudlo ko sang makina gid;subong nautod na tudlo ko sang makina gid ko;subong nautod na tudlo ko sang makina ko gid;subong nautod na tudlo ko sang makina man;subong nautod na tudlo ko sang makina na gid;subong nautod tudlo ko sang makina gid;subong nautod tudlo ko sang makina gid ko;subong nautod tudlo ko sang makina ko gid;subong nautod tudlo ko sang makina man;subong nautod tudlo ko sang makina na gid;subong nautod tudlo ku sang makina gid;subong nautod tudlo ku sang makina gid ko;subong nautod tudlo ku sang makina ko gid;subong nautod tudlo ku sang makina man;subong nautod tudlo ku sang makina na gid;wala ko kasugtan nautod na tudlo ko sang makina gid;wala ko kasugtan nautod na tudlo ko sang makina gid ko;wala ko kasugtan nautod na tudlo ko sang makina ko gid;wala ko kasugtan nautod na tudlo ko sang makina man;wala ko kasugtan nautod na tudlo ko sang makina na gid;wala ko kasugtan nautod tudlo ko sang makina gid;wala ko kasugtan nautod tudlo ko sang makina gid ko;wala ko kasugtan nautod tudlo ko sang makina ko gid;wala ko kasugtan nautod tudlo ko sang makina man;wala ko kasugtan nautod tudlo ko sang makina na gid;wala ku kasugtan nautod tudlo ko sang makina gid;wala ku kasugtan nautod tudlo ko sang makina gid ko;wala ku kasugtan nautod tudlo ko sang makina ko gid;wala ku kasugtan nautod tudlo ko sang makina man;wala ku kasugtan nautod tudlo ko sang makina na gid,amputated finger,bag-o lang nautod na tudlo ko sang makina gid,active
CTS0008,amputated foot,amputated foot,Trauma,EMERGENCY,90,1,Seek emergency medical care immediately / call emergency services.,1,1,en;hil,nautod acun paa;nautod acun tiil;nautod akon paa;nautod akon tiil;nautod ang acun paa;nautod ang acun tiil;nautod ang akon paa;nautod ang akon tiil;nautod ang paa ko;nautod ang paa ku;nautod ang tiil ko;nautod ang tiil ku;nautod gid acun paa;nautod gid acun tiil;nautod gid akon paa;nautod gid akon tiil;nautod gid paa ko;nautod gid paa ku;nautod gid tiil ko;nautod gid tiil ku;nautod ko ang acun paa;nautod ko ang acun tiil;nautod ko ang akon paa;nautod ko ang akon tiil;nautod ko ang paa ko;nautod ko ang tiil ko;nautod ku ang akon paa;nautod ku ang akon tiil;nautod ku ang paa ko;nautod ku ang tiil ko;nautod na akon paa;nautod na akon tiil;nautod na ang akon paa;nautod na ang akon tiil;nautod na ang paa ko;nautod na ang tiil ko;nautod na gid akon paa;nautod na gid akon tiil;nautod na gid paa ko;nautod na gid tiil ko;nautod na ko ang akon paa;nautod na ko ang akon tiil;nautod na ko ang paa ko;nautod na ko ang tiil ko;nautod na paa ko;nautod na tiil ko;nautod paa ko;nautod paa ku;nautod tiil ko;nautod tiil ku,amputated foot,nautod acun paa,active
CTS0009,amputated hand,amputated hand,Trauma,EMERGENCY,90,1,Seek emergency medical care immediately / call emergency services.,1,1,en;hil,nautod acun kamot;nautod akon kamot;nautod ang acun kamot;nautod ang akon kamot;nautod ang kamot ko;nautod ang kamot ku;nautod gid acun kamot;nautod gid akon kamot;nautod gid kamot ko;nautod gid kamot ku;nautod kamot ko;nautod kamot ku;nautod ko ang acun kamot;nautod ko ang akon kamot;nautod ko ang kamot ko;nautod ku ang akon kamot;nautod ku ang kamot ko;nautod na akon kamot;nautod na ang akon kamot;nautod na ang kamot ko;nautod na gid akon kamot;nautod na gid kamot ko;nautod na kamot ko;nautod na ko ang akon kamot;nautod na ko ang kamot ko,amputated hand,nautod acun kamot,active
CTS0010,anaphylaxis,throat swelling;difficulty breathing;rash,Allergy,EMERGENCY,90,1,Seek emergency medical care immediately / call emergency services.,1,1,en;hil,severe allergic reaction,anaphylaxis,gahubag tutunlan,active
CTS0011,animal bite,animal bite,Bite,URGENT,55,0,Consult a healthcare provider as soon as possible (same day / within hours).,1,0,en;hil,ginakagat sang manok ko;ginakagat sang sapat ko;ginkagat ako sang manok;ginkagat ako sang sapat;ginkagat manok ako;ginkagat sang manok ko;ginkagat sang sapat ko;ginkagat sapat ako;may kagat sang manok ko;may kagat sang sapat ko,animal bite,ginakagat sang manok ko,active
CTS0012,ankle infection,ankle infection,Infection,NON_URGENT,20,0,Schedule a routine consultation with a healthcare provider.,0,0,en;hil,may nana akon tungtong;may nana ko sa tungtong;may nana sa akon tungtong;may nana sa tungtong ko;may nana tungtong;may nana tungtong ko,ankle infection,may nana akon tungtong,active
CTS0013,ankle sprain,ankle sprain,Trauma,NON_URGENT,20,0,Schedule a routine consultation with a healthcare provider.,0,0,en;hil,nabalian akon tungtong;nabalian gid tungtong ko;nabalian tungtong ko,ankle sprain,nabalian akon tungtong,active
CTS0014,arm burn,arm burn,Burn,URGENT,55,0,Consult a healthcare provider as soon as possible (same day / within hours).,1,0,en;hil,mapula nasunog buuk ko;may pilas nasunog sa buuk ko;nasunog akon buuk;nasunog buuk ko;nasunog gid buuk ko;nasunog ko ang buuk,arm burn,mapula nasunog buuk ko,active
CTS0015,arm fracture,arm fracture,Fracture,EMERGENCY,90,1,Seek emergency medical care immediately / call emergency services.,1,1,en;hil,nabali acun buuk;nabali akon buuk;nabali buuk ko;nabali buuk ku;nabali gid buuk ko;nabali gid buuk ku;nabali na akon buuk;nabali na buuk ko;nabali na gid buuk ko,arm fracture,nabali acun buuk,active
CTS0016,arm infection,arm infection,Infection,NON_URGENT,20,0,Schedule a routine consultation with a healthcare provider.,0,0,en;hil,may nana akon buuk;may nana buuk;may nana buuk ko;may nana ko sa buuk;may nana sa akon buuk;may nana sa buuk ko,arm infection,may nana akon buuk,active
CTS0017,arm wound,arm wound,Wound,URGENT,55,0,Consult a healthcare provider as soon as possible (same day / within hours).,1,0,en;hil,may pilas ako sa buuk;may pilas akon buuk;may pilas ko sa buuk;may pilas sa buuk ko;nagdugo ang pilas sa buuk ko;nagdugo pilas ko sa buuk;nagdugo pilas sa buuk ko,arm wound,may pilas ako sa buuk,active
CTS0018,arthritis,joint pain;swelling,Musculoskeletal,URGENT,55,0,Consult a healthcare provider as soon as possible (same day / within hours).,1,0,en;hil,arthritis;artraytis;rayuma;rheumatism,arthritis,arthritis,active
