rule_id,pattern,negated_concept,language,status
NEGB0001,no fever,fever,english,active
NEGB0002,no cough,cough,english,active
NEGB0003,no chest pain,chest pain,english,active
NEGB0004,no vomiting,vomiting,english,active
NEGB0005,not dizzy,dizziness,english,active
NEGB0006,denies fever,fever,english,active
NEGB0007,without fever,fever,english,active
NEGB0008,wala akong lagnat,fever,filipino,active
NEGB0009,wala akong ubo,cough,filipino,active
NEGB0010,wala ko ginaubo,cough,hiligaynon,active
NEGB0011,wala ko lagnat,fever,hiligaynon,active
NEGB0012,indi budlay ginhawa,difficulty breathing,hiligaynon,active
NEGB0013,indi masakit dughan,chest pain,hiligaynon,active
NEGB0014,indi gasuka,vomiting,hiligaynon,active
NEGB0015,wala lipong,dizziness,hiligaynon,active
NEGB0016,hindi ako nilalagnat,fever,filipino,active
NEGB0017,hindi ako umuubo,cough,filipino,active
NEGB0018,walang sakit sa dibdib,chest pain,filipino,active
NEGB0019,no shortness of breath,difficulty breathing,english,active
NEGB0020,not short of breath,difficulty breathing,english,active
NEGB0021,no fever,fever,mixed,active
NEGB0022,no cough,cough,mixed,active
NEGB0023,no headache,headache,mixed,active
NEGB0024,no vomiting,vomiting,mixed,active
NEGB0025,no nausea,nausea,mixed,active
NEGB0026,no diarrhea,diarrhea,mixed,active
NEGB0027,no chest pain,chest pain,mixed,active
NEGB0028,no dizziness,dizziness,mixed,active
NEGB0029,no rash,rash,mixed,active
NEGB0030,no bleeding,bleeding,mixed,active
NEGB0031,not fever,fever,mixed,active
NEGB0032,not cough,cough,mixed,active
NEGB0033,not headache,headache,mixed,active
NEGB0034,not vomiting,vomiting,mixed,active
NEGB0035,not nausea,nausea,mixed,active
NEGB0036,not diarrhea,diarrhea,mixed,active
NEGB0037,not chest pain,chest pain,mixed,active
NEGB0038,not dizziness,dizziness,mixed,active
NEGB0039,not rash,rash,mixed,active
NEGB0040,not bleeding,bleeding,mixed,active
NEGB0041,denies fever,fever,mixed,active
NEGB0042,denies cough,cough,mixed,active
NEGB0043,denies headache,headache,mixed,active
NEGB0044,denies vomiting,vomiting,mixed,active
NEGB0045,denies nausea,nausea,mixed,active
NEGB0046,denies diarrhea,diarrhea,mixed,active
NEGB0047,denies chest pain,chest pain,mixed,active
NEGB0048,denies dizziness,dizziness,mixed,active
NEGB0049,denies rash,rash,mixed,active
NEGB0050,denies bleeding,bleeding,mixed,active
NEGB0051,without fever,fever,mixed,active
NEGB0052,without cough,cough,mixed,active
NEGB0053,without headache,headache,mixed,active
NEGB0054,without vomiting,vomiting,mixed,active
NEGB0055,without nausea,nausea,mixed,active
NEGB0056,without diarrhea,diarrhea,mixed,active
NEGB0057,without chest pain,chest pain,mixed,active
NEGB0058,without dizziness,dizziness,mixed,active
NEGB0059,without rash,rash,mixed,active
NEGB0060,without bleeding,bleeding,mixed,active
NEGB0061,wala fever,fever,mixed,active
NEGB0062,wala cough,cough,mixed,active
NEGB0063,wala headache,headache,mixed,active
NEGB0064,wala vomiting,vomiting,mixed,active
NEGB0065,wala nausea,nausea,mixed,active
NEGB0066,wala diarrhea,diarrhea,mixed,active
NEGB0067,wala chest pain,chest pain,mixed,active
NEGB0068,wala dizziness,dizziness,mixed,active
NEGB0069,wala rash,rash,mixed,active
NEGB0070,wala bleeding,bleeding,mixed,active
NEGB0071,wala akong fever,fever,mixed,active
NEGB0072,wala akong cough,cough,mixed,active
NEGB0073,wala akong headache,headache,mixed,active
NEGB0074,wala akong vomiting,vomiting,mixed,active
NEGB0075,wala akong nausea,nausea,mixed,active
NEGB0076,wala akong diarrhea,diarrhea,mixed,active
NEGB0077,wala akong chest pain,chest pain,mixed,active
NEGB0078,wala akong dizziness,dizziness,mixed,active
